"","MS245","MS374","MS371","MS348","MS352"
"P29966",18.9199951816022,18.4759715521921,18.3984558304405,19.1603972554573,19.7249061037247
"P17302;O60271",18.9768106854744,19.1587513207651,19.7406638148304,19.8945899508806,19.7239701716391
"P15104",18.1765170045177,19.0755909832214,18.4828362677602,18.988979676816,18.4541320393484
"P35232",17.2759182829722,18.2057887069808,18.059439906688,17.8443248242317,17.5997543128895
"Q8NFZ8",18.4210869032989,18.7980720263627,17.7225383548879,18.2591806181748,17.9900423735313
"P04632;Q96L46",18.9718410608857,19.0113054773109,19.5147101107712,19.531629587077,19.101779198732
"Q9H008",19.710829401335,19.1628630393834,19.0372336251956,19.8278134724243,19.7404188832299
"P48163",17.4144136374589,17.6922839877331,17.2928597990633,17.388485789795,17.1791950061077
"Q96GW7;O14594",17.5380620835237,17.6925274430522,17.8092715206119,17.7944330670854,17.3855156546739
"P26641",17.3066148063133,17.5228949426517,17.5215404711862,17.2375244005485,17.3132466504164
